date,plane_type,country,airline,fat,px,phase,cause
2000-11-07,Antonov 32B,Congo,"Renan, operating for Malu Aviation",2,17,take off,mechnical failure
2000-11-15,Antonov 26,Angola,ASA Pesada,57,48,take off,mechnical failure
2001-01-25,Douglas C-47A-65-DL (DC-3C),Venezuela,Rutaca,24,34,en_route,engine failure
2001-02-10,GAF Nomad N.24A,Suriname,Gum Air,10,26,ap,pilot error
2001-03-17,Beechcraft 1900C-1,Angola,SAL Express,16,30,approach,low visibility
2001-03-24,de Havilland Canada DHC-6 Twin Otter 300,Guadeloupe,Air Caraïbes,20,32,approach,pilot error
2001-03-29,Gulfstream Aerospace G-1159 Gulfstream III,USA,Avjet Corp,18,31,approach,bad weather
2001-05-17,Yakovlev 40,Iran,Faraz Qeshm,30,37,en_route,bad weather
2001-07-04,Tupolev 154M,Russia,Vladivostokavia,145,70,approach,pilot error
2001-08-23,Antonov 28,DR Congo,Victoria Air,4,20,en_route,overloaded
2001-08-29,CASA CN-235-200,Spain,Binter Méditerraneo,4,20,approach,mechanical failure
2001-09-11,Boeing 757-222,USA,United Airlines,44,43,en_route,intentionally crashed
2001-09-11,Boeing 757-223,USA,American Airlines,189,79,en_route,intentionally crashed
2001-09-11,Boeing 767-222,USA,United Airlines,965,165,en_route,intentionally crashed
2001-09-11,Boeing 767-223ER,USA,American Airlines,1692,216,en_route,intentionally crashed
2001-09-12,Let L-410UVP-E,Mexico,Aero Ferinco,19,32,initial_climb,mechanical failure
2001-09-15,Fokker 100,Brazil,TAM Brasil,1,15,en_route,engine failure
2001-09-18,Let L-410UVP-E,Guatemala,Atlantic Airlines,8,24,takeoff,pilot error
2001-10-04,Tupolev 154M,Black Sea,Sibir Airlines,78,54,en_route,shot down
2001-10-08,McDonnell Douglas MD-87,Italy,Scandinavian Airlines System - SAS,114,63,takeoff,pilot error
2001-11-12,Airbus A300B4-605R,USA,American Airlines,265,91,en_route,pilot error
2001-11-19,Ilyushin 18V,Russia,IRS Aero,27,36,en_route,pilot error
2001-11-24,Avro RJ.100,Switzerland,Crossair,24,34,approach,pilot error
2001-12-16,Let L-410UVP-E,Colombia,Heliandes,16,30,en_route,pilot error
2002-01-16,Boeing 737-3Q8,Indonesia,Garuda,1,15,approach,bad weather
2002-01-17,Fairchild FH-227E,Colombia,Petroproduccion,26,35,en_route,pilot & crew error
2002-01-28,Boeing 727-134,Colombia,TAME Ecuador,94,58,approach,pilot error
2002-02-12,Tupolev 154M,Iran,Iran Air Tours,119,65,approach,bad weather
2002-03-14,Antonov 2R,Cuba,Aerotaxi,16,30,en_route,wing loss
2002-04-15,Boeing 767-2J6ER,South Korea,Air China,129,67,approach,bad weather
2002-05-04,BAC One-Eleven 525FT,Nigeria,EAS Airlines,149,71,en_route,aircraft stalled
2002-05-07,Boeing 737-566,Tunisia,EgyptAir,14,29,approach,unknown
2002-05-07,MD-82,China,China Northern,112,63,approach,fire in the cabin/ insurance fraud
2002-05-25,DHC-6 Twin Otter 300,Indonesia,Trigana Air Service,6,22,en_route,bad weather
2002-05-25,Boeing 747-209B,Pacific Ocean (Taiwan Straight),China Airlines,225,85,en_route,structural failure
2002-07-01,Tupolev 154M,Germany,Bashkirskie Avialinii,69,52,en_route,atc error
2002-07-17,DHC-6 Twin Otter 300,Nepal,Skyline Airways,4,20,en_route,bad weather
2002-08-22,DHC-6 Twin Otter 300,Nepal,Shangri-La Air,18,31,approach,bad weather
2002-08-29,Antonov 28,Russia,Vostok Aviakompania,16,30,approach,bad weather
2002-08-30,Embraer 120ER Brasilia,Brazil,Rico Linhas Aéreas,23,34,approach,bad weather
2002-09-28,DHC-3 Otter,Canada,Deraps Aviation,3,19,approach,pilot error
2002-10-25,Beechcraft A100 King Air,USA,Aviation Charter,8,24,approach,crew error
2002-11-06,Fokker 50,Luxembourg,Luxair,20,32,approach,crew error
2002-11-11,Fokker F-27 Friendship 600,Philippines,Laoag,19,32,en_route,engine trouble
2002-11-28,Let L-410UVP-E20,Kenya,Eagle Aviation,1,15,approach,engine trouble
2002-12-23,Antonov 140,Iran,Aeromist Kharkiv,44,43,en_route,pilot error
2002-12-27,Let L-410UVP,Comoros,Ocean Airlines,1,15,approach,thunderstorm
2003-01-08,Beechcraft 1900D,USA,"Air Midwest, operating for US Airways Express",21,33,takeoff,airline error
2003-01-08,Avro RJ.100,Turkey,Turkish Airlines,75,53,approach,low visibility
2003-01-09,Fokker F-28 Fellowship 1000,Peru,TANS Perú,46,44,approach,pilot & crew error
2003-03-06,Boeing 737-2T4,Algeria,Air Algérie,102,60,initial_climb,engine failure
2003-03-27,DHC-6 Twin Otter 300,Indonesia,Air Regional,4,20,en_route,unknown
2003-05-26,Yakovlev 42D,Turkey,Union de Transports Aériens,75,53,approach,crew error
2003-06-22,Canadair CL-600-2B19 Regional,France,Brit Air,1,15,approach,crew error
2003-07-08,Boeing 737-2J8C,Sudan,Sudan Airways,116,64,approach,engine failure
2003-07-13,Let L-410UVP-E,Venezuela,Ruiban and Duran,4,20,en_route,unknown
2003-07-19,Swearingen SA226-TC Metro II,Kenya,Ryan Blake Air Charter,14,29,en_route,unknown
2003-08-24,Let L-410UVP-E3,Haiti,Tropical Airways,21,33,en_route,mechanical failure
2003-11-08,Shorts SC.7 Skyvan 3M-100,Guyana,Trans Guyana Airways,2,17,initial takeoff,engine failure
2003-12-16,DHC-3 Turbo Otter,Canada,Huron Air,2,17,takeoff,pilot error
2003-12-25,Boeing 727-223,Benin,Union de Transports Aériens,141,69,takeoff,overloaded
2004-01-03,Boeing 737-3Q8,Egypt,Flash Airlines,148,71,en_route,unknown
2004-01-13,Yakovlev 40,Uzbekistan,Uzbekistan Airways,37,40,landing,bad weather
2004-01-28,Beechcraft 1900D,Algeria,Tassili Airlines,1,15,approach,atc error
2004-02-10,Fokker 50,UAE,Kish Air,43,43,approach,unknown
2004-05-11,Antonov 12BP,Sudan,El Magal Aviation,1,15,unknown,bad weather
