rank,title,author,year
411,The Woman in White,Wilkie Collins,1859
412,The Bell Jar,Sylvia Plath,1963
413,Waiting for the Barbarians, J.M. Coetzee,1980
414,In Our Time,Ernest Hemingway,1925
415,Tropic of Cancer,Henry Miller,1934
416,A Handful of Dust,Evelyn Waugh,1934
417,Six Characters in Search of an Author,Luigi Pirandello,1921
418,Parade's End,Ford Madox Ford,1924
419,Cloud Atlas,David Mitchell,2004
420,The Complete Poems of Samuel Taylor Coleridge,Samuel Coleridge,1834
421,Norwegian Wood,Haruki Murakami,1987
422,Collected Stories,William Somerset Maugham,1965
423,"Look Homeward, Angel",Thomas Wolfe,1929
424,Main Street,Sinclair Lewis,1920
425,Germinal,Émile Zola,1885
426,The Sorrows of Young Werther,Johann Wolfgang von Goethe,1774
427,Go Tell it on the Mountain,James Baldwin,1953
428,Songs of Innocence and Experience,William Blake,1789
429,Naked Lunch,William Burroughs,1959
430,Portnoy's Complaint,Philip Roth,1969
431,Gimpel the Fool,Isaac B Singer,1957
432,Stranger in a Strange Land,Robert A. Heinlein,1961
433,The Secret History,Donna Tartt,1992
434,We,Yevgeny Zamyatin,1921
435,The Turn of the Screw,Henry James,1898
436,The Short Happy Life of Francis Macomber,Ernest Hemingway,1936
437,Mother Courage and Her Children,Bertolt Brecht,1939
438,A Rose for Emily,William Faulkner,1930
439,The Prussian Officer,D. H. Lawrence,1914
440,"Germany, a Winter Tale",Heinrich Heine,1844
441,The Beast in the Jungle,Henry James,1903
442,Bonfire of the Vanities,Tom Wolfe,1987
443,"Carry On, Jeeves",P.G. Wodehouse,1925
444,The Selected Works of Cesare Pavese,Cesare Pavese,
445,The Alexandria Quartet,Lawrence Durrell,1957
446,Ragtime,E.L. Doctorow,1975
447,The Last Chronicle of Barset,Anthony Trollope,1867
448,The Betrothed,Alessandro Manzoni,1842
449,A Hero of Our Time,Mikhail Lermontov,1840
450,The Moon and the Bonfires,Cesare Pavese,1949
451,The Golden Bowl,Henry James,1904
452,"Winesburg, Ohio",Sherwood Anderson,1919
453,Le Cid,Pierre Corneille,1637
454,The Importance of Being Earnest,Oscar Wilde,1895
455,His Dark Materials,Philip Pullman,1995
456,Call It Sleep,Henry Roth,1934
457,The Old Wives' Tale,Arnold Bennett,1908
458,The Nibelungenlied,Anonymous,1200
459,Murder on the Orient Express,Agatha Christie,1934
460,Parzival,Wolfram Eschenbach,1200
461,Watt,Samuel Beckett,1953
462,Daphnis and Chloe,Longus,200
463,Los Siete Locos,Roberto Arlt,1929
464,The Death of the Heart,Elizabeth Bowen,1938
465,The Phantom Tollbooth,Norton Juster,
466,The Name of the Rose,Umberto Eco,1980
467,Balzac and the Little Chinese Seamstress,Dai Sijie,2000
468,The Poems of Francois Villon,François Villon,1463
469,The Radetzky March,Joseph Roth,1932
